,equal_weight,sector_equal,mean_variance,min_cvar
AAPL,0.16666666666666666,0.16666666666666666,0.14239418465671458,0.15567082706586222
MSFT,0.16666666666666666,0.16666666666666666,0.17982093825628281,0.17537496656897253
JPM,0.16666666666666666,0.16666666666666666,0.1752076059711411,0.16756964794339832
BAC,0.16666666666666666,0.16666666666666666,0.17451580570611142,0.16786962252116922
JNJ,0.16666666666666666,0.16666666666666666,0.16229971927948747,0.16618631145851182
PFE,0.16666666666666666,0.16666666666666666,0.16576174613026243,0.1673286244420859
